month,monthly_return,start_value,end_value
2022-02,0.027459046542304577,100000000.0,102745904.65423042
2022-03,-0.043595348304651504,103456231.0339528,98266661.15395272
2022-04,-0.1291768365302829,98141275.19730987,85572884.7296919
2022-05,0.09098994565372975,86837537.7280805,93359156.86067943
2022-06,0.06862234041247173,93912273.60717909,99765680.70339431
2022-07,0.027159726354954783,99646446.24673256,102475289.29091427
2022-08,-0.020420012291049727,102993132.60896498,100382742.6240649
2022-09,-0.059405756622181505,99984723.04190564,94419429.84667264
2022-10,-0.029545552096931993,93266974.61179312,91629755.66317514
2022-11,0.23533998699187708,94176459.94681914,113193901.16901568
2022-12,-0.0040918690694473625,114437804.79610814,112730726.54597214
2023-01,0.1210727922287913,115346433.37632003,126379350.37887333
2023-02,-0.0037876633874298626,128345416.2396084,125900667.9405161
2023-03,-0.07466677276446299,126329868.35355203,116500071.37650746
2023-04,-0.10965706221923477,117580297.31833328,103725015.8010285
2023-05,-0.0969469952139358,103669222.11502913,93669187.19060075
2023-06,0.03579031306699276,92990317.88305314,97021636.72488314
2023-07,0.1151252038048316,98733296.32084899,108191272.42631365
2023-08,-0.026200095742019758,108011575.37811534,105356650.73029329
2023-09,0.0049329457133269194,106064841.2794382,105876369.36888382
2023-10,-0.022334400511647257,105409935.25868398,103511684.13068002
2023-11,0.02511034733298012,103931544.08338352,106110898.4722231
2023-12,-0.012522097135502563,107910501.11038856,104782167.49441844
2024-01,-0.15404388127701507,104281099.16946013,88641115.72495995
2024-02,0.13432986181518958,88152025.95919129,100548264.55143814
2024-03,0.032450522190429654,100939312.840001,103811108.24147375
2024-04,-0.14722177711820195,105942547.53477685,88527852.40155396
2024-05,-0.09324822889256379,88984944.7207448,80272786.95744675
2024-06,-0.20354173123572994,77723270.26363885,63933924.92901109
2024-07,0.06866816223445693,64306964.03682988,68324150.05832203
2024-08,0.026672034757203367,68557438.76924716,70146494.16343394
2024-09,0.13864665916191599,69449228.19094023,79872071.23111486
2024-10,0.09009737218065972,81391103.84085101,87068334.95966478
2024-11,0.0580863218494061,85903959.66804898,92125814.28702374
2024-12,-0.0012184855565496866,93519475.18039496,92013560.31292956
2025-01,-0.005764830713075431,90700499.20319596,91483117.71441819
2025-02,0.03985875220521251,92508180.55942118,95129520.63435744
2025-03,-0.004812485475249151,95245949.65466183,94671711.19803719
2025-04,-0.043551815895739865,96112563.51974727,90548586.26140563
2025-05,0.13058953859604583,93407730.31147851,102373284.36180685
2025-06,0.031640599098326394,102129242.83161381,105612436.41067776
2025-07,0.010083742711437527,106124489.85962002,106677405.04657105
2025-08,0.08387331970787115,106902869.87568507,115624793.14564821
2025-09,-0.02143526695115383,116735554.28348118,113146344.8383993
2025-10,0.03376735703722433,113272335.55630377,116966997.86201446
2025-11,-0.006223128547358958,117776301.87758157,116239097.19852047
2025-12,0.029062967229281922,116877891.48195688,119617350.27116236
2026-01,0.06107506391129469,121437199.06879981,126922987.5838733
2026-02,0.021917341940497215,123847498.9025102,129704802.10285851
2026-03,-0.10098973253627141,125810778.59316607,116605948.8298208
2026-04,-0.007989761439157417,118012428.79553531,115674295.11628392
